date,open_time,symbol_name,open,high,low,close,vol,close_time,quote_asset_vol,num_trades,taker_base_vol,taker_quote_vol,ignore
2020-10-25,1603584000000,MTHBTC,0.00000054,0.00000054,0.00000052,0.00000053,3358635.00000000,1603670399999,1.78338454,417,2015987.00000000,1.07823346,0
2020-10-26,1603670400000,MTHBTC,0.00000053,0.00000057,0.00000052,0.00000054,3756274.00000000,1603756799999,2.04358210,481,2377256.00000000,1.29982781,0
2020-10-27,1603756800000,MTHBTC,0.00000056,0.00000057,0.00000051,0.00000053,4788358.00000000,1603843199999,2.59674656,602,2182315.00000000,1.19814393,0
2020-10-28,1603843200000,MTHBTC,0.00000053,0.00000054,0.00000047,0.00000049,5896609.00000000,1603929599999,2.92497661,660,2378117.00000000,1.18284698,0
2020-10-29,1603929600000,MTHBTC,0.00000049,0.00000050,0.00000044,0.00000045,4523786.00000000,1604015999999,2.12316823,359,1198467.00000000,0.56990842,0
2020-10-30,1604016000000,MTHBTC,0.00000044,0.00000045,0.00000042,0.00000043,3836238.00000000,1604102399999,1.65846936,266,1385115.00000000,0.60208422,0
2020-10-31,1604102400000,MTHBTC,0.00000043,0.00000055,0.00000041,0.00000042,31104442.00000000,1604188799999,14.92200042,2653,20959991.00000000,10.37877279,0
2020-11-01,1604188800000,MTHBTC,0.00000042,0.00000044,0.00000041,0.00000044,3040853.00000000,1604275199999,1.31184385,228,1774210.00000000,0.77444266,0
2020-11-02,1604275200000,MTHBTC,0.00000044,0.00000051,0.00000044,0.00000046,8927665.00000000,1604361599999,4.22726395,633,3895023.00000000,1.88017443,0
2020-11-03,1604361600000,MTHBTC,0.00000046,0.00000047,0.00000043,0.00000043,2653917.00000000,1604447999999,1.19480985,254,731702.00000000,0.33601224,0
2020-11-04,1604448000000,MTHBTC,0.00000043,0.00000043,0.00000040,0.00000040,7466259.00000000,1604534399999,3.04048853,407,4075849.00000000,1.67271924,0
2020-11-05,1604534400000,MTHBTC,0.00000040,0.00000043,0.00000036,0.00000039,11269523.00000000,1604620799999,4.40046699,705,5785827.00000000,2.29593093,0
2020-11-06,1604620800000,MTHBTC,0.00000040,0.00000054,0.00000037,0.00000048,25932918.00000000,1604707199999,11.87662777,1499,12541195.00000000,5.79963955,0
2020-11-07,1604707200000,MTHBTC,0.00000048,0.00000049,0.00000043,0.00000044,9159625.00000000,1604793599999,4.22624519,510,4792258.00000000,2.23912042,0
2020-11-08,1604793600000,MTHBTC,0.00000045,0.00000058,0.00000044,0.00000053,21030029.00000000,1604879999999,11.11400417,1697,12315179.00000000,6.55371583,0
2020-11-09,1604880000000,MTHBTC,0.00000054,0.00000057,0.00000051,0.00000054,10947938.00000000,1604966399999,5.81755266,919,6064914.00000000,3.25686944,0
2020-11-10,1604966400000,MTHBTC,0.00000053,0.00000058,0.00000051,0.00000056,8752580.00000000,1605052799999,4.79881156,665,5412396.00000000,3.01142258,0
2020-11-11,1605052800000,MTHBTC,0.00000056,0.00000060,0.00000053,0.00000055,7784877.00000000,1605139199999,4.47095374,512,5123759.00000000,2.97662626,0
2020-11-12,1605139200000,MTHBTC,0.00000054,0.00000055,0.00000046,0.00000047,10417781.00000000,1605225599999,5.17329976,530,3070906.00000000,1.49317206,0
2020-11-13,1605225600000,MTHBTC,0.00000046,0.00000049,0.00000045,0.00000049,5731705.00000000,1605311999999,2.70718211,359,3629873.00000000,1.71549878,0
2020-11-14,1605312000000,MTHBTC,0.00000048,0.00000049,0.00000045,0.00000047,6656803.00000000,1605398399999,3.08264985,417,2308540.00000000,1.06979456,0
2020-11-15,1605398400000,MTHBTC,0.00000047,0.00000054,0.00000046,0.00000049,8024917.00000000,1605484799999,3.90573416,576,5346972.00000000,2.61958027,0
2020-11-16,1605484800000,MTHBTC,0.00000049,0.00000049,0.00000045,0.00000047,3731935.00000000,1605571199999,1.75287361,328,861204.00000000,0.40756070,0
2020-11-17,1605571200000,MTHBTC,0.00000047,0.00000047,0.00000039,0.00000041,11412301.00000000,1605657599999,4.79623376,567,4907207.00000000,2.00514043,0
2020-11-18,1605657600000,MTHBTC,0.00000041,0.00000042,0.00000037,0.00000040,12264222.00000000,1605743999999,4.73724210,1015,6371201.00000000,2.46849713,0
2020-11-19,1605744000000,MTHBTC,0.00000041,0.00000059,0.00000039,0.00000058,354532623.00000000,1605830399999,191.11710654,3953,333335427.00000000,180.09483372,0
2020-11-20,1605830400000,MTHBTC,0.00000058,0.00000061,0.00000038,0.00000041,420204656.00000000,1605916799999,227.12583573,4493,369744232.00000000,203.47831502,0
2020-11-21,1605916800000,MTHBTC,0.00000042,0.00000043,0.00000039,0.00000041,25114684.00000000,1606003199999,10.33034861,737,7331024.00000000,3.06524843,0
2020-11-22,1606003200000,MTHBTC,0.00000043,0.00000043,0.00000041,0.00000043,11199782.00000000,1606089599999,4.73721699,376,5210820.00000000,2.22421447,0
2020-11-23,1606089600000,MTHBTC,0.00000042,0.00000044,0.00000041,0.00000044,11560747.00000000,1606175999999,4.95366508,395,6685520.00000000,2.88368743,0
2020-11-24,1606176000000,MTHBTC,0.00000044,0.00000046,0.00000040,0.00000044,32298666.00000000,1606262399999,13.93252209,899,17726596.00000000,7.64996792,0
2020-11-25,1606262400000,MTHBTC,0.00000044,0.00000051,0.00000043,0.00000046,28037871.00000000,1606348799999,13.07238055,1082,15732305.00000000,7.43838891,0
2020-11-26,1606348800000,MTHBTC,0.00000046,0.00000046,0.00000042,0.00000043,11710838.00000000,1606435199999,5.12277826,448,5433548.00000000,2.37826800,0
2020-11-27,1606435200000,MTHBTC,0.00000043,0.00000045,0.00000042,0.00000044,7004730.00000000,1606521599999,3.01366447,258,5304575.00000000,2.29388655,0
2020-11-28,1606521600000,MTHBTC,0.00000044,0.00000046,0.00000043,0.00000044,8676871.00000000,1606607999999,3.89026678,315,3540298.00000000,1.60958256,0
2020-11-29,1606608000000,MTHBTC,0.00000044,0.00000044,0.00000043,0.00000043,4686879.00000000,1606694399999,2.03020918,192,1485121.00000000,0.65345324,0
2020-11-30,1606694400000,MTHBTC,0.00000044,0.00000044,0.00000040,0.00000040,7965846.00000000,1606780799999,3.30144369,321,2908957.00000000,1.19797903,0
2020-12-01,1606780800000,MTHBTC,0.00000040,0.00000043,0.00000040,0.00000042,7289554.00000000,1606867199999,3.02288214,431,4905939.00000000,2.04510967,0
2020-12-02,1606867200000,MTHBTC,0.00000042,0.00000044,0.00000041,0.00000042,7630880.00000000,1606953599999,3.23459146,410,4206368.00000000,1.79421004,0
2020-12-03,1606953600000,MTHBTC,0.00000043,0.00000044,0.00000041,0.00000042,6125949.00000000,1607039999999,2.60525927,287,1441256.00000000,0.61474322,0
2020-12-04,1607040000000,MTHBTC,0.00000042,0.00000043,0.00000039,0.00000040,7253063.00000000,1607126399999,2.97560394,379,4346871.00000000,1.79179559,0
2020-12-05,1607126400000,MTHBTC,0.00000040,0.00000041,0.00000039,0.00000039,4373695.00000000,1607212799999,1.75159971,273,2464349.00000000,0.99047268,0
2020-12-06,1607212800000,MTHBTC,0.00000040,0.00000042,0.00000038,0.00000039,6723866.00000000,1607299199999,2.64840112,420,3964527.00000000,1.56494448,0
2020-12-07,1607299200000,MTHBTC,0.00000039,0.00000040,0.00000038,0.00000039,8470117.00000000,1607385599999,3.27895073,441,4041410.00000000,1.57563126,0
2020-12-08,1607385600000,MTHBTC,0.00000039,0.00000040,0.00000036,0.00000037,13836724.00000000,1607471999999,5.20612063,526,7511878.00000000,2.81766365,0
2020-12-09,1607472000000,MTHBTC,0.00000037,0.00000038,0.00000035,0.00000037,7727904.00000000,1607558399999,2.83450782,419,4066622.00000000,1.49777774,0
2020-12-10,1607558400000,MTHBTC,0.00000037,0.00000039,0.00000036,0.00000037,5808985.00000000,1607644799999,2.16957107,230,2657259.00000000,0.99849957,0
2020-12-11,1607644800000,MTHBTC,0.00000037,0.00000039,0.00000037,0.00000039,4902596.00000000,1607731199999,1.87619497,162,3039515.00000000,1.16947662,0
2020-12-12,1607731200000,MTHBTC,0.00000038,0.00000040,0.00000038,0.00000039,5928860.00000000,1607817599999,2.32207063,231,2843776.00000000,1.12416098,0
2020-12-13,1607817600000,MTHBTC,0.00000039,0.00000040,0.00000037,0.00000038,7327881.00000000,1607903999999,2.84683200,376,3852368.00000000,1.50197849,0
2020-12-14,1607904000000,MTHBTC,0.00000038,0.00000042,0.00000037,0.00000041,10710948.00000000,1607990399999,4.15406756,423,8257092.00000000,3.22720309,0
2020-12-15,1607990400000,MTHBTC,0.00000042,0.00000042,0.00000037,0.00000037,10206514.00000000,1608076799999,3.98725542,325,3571320.00000000,1.39626824,0
2020-12-16,1608076800000,MTHBTC,0.00000037,0.00000038,0.00000033,0.00000034,13793001.00000000,1608163199999,4.80669249,1609,5068440.00000000,1.75436396,0
2020-12-17,1608163200000,MTHBTC,0.00000034,0.00000034,0.00000029,0.00000030,12047047.00000000,1608249599999,3.73547675,513,5126239.00000000,1.59222406,0
2020-12-18,1608249600000,MTHBTC,0.00000030,0.00000032,0.00000030,0.00000031,4135834.00000000,1608335999999,1.30550229,194,2829756.00000000,0.90155402,0
2020-12-19,1608336000000,MTHBTC,0.00000031,0.00000034,0.00000030,0.00000031,13997089.00000000,1608422399999,4.40449272,508,6368425.00000000,2.02361899,0
2020-12-20,1608422400000,MTHBTC,0.00000031,0.00000042,0.00000030,0.00000035,64349683.00000000,1608508799999,22.98638746,2843,31719875.00000000,11.47950835,0
2020-12-21,1608508800000,MTHBTC,0.00000035,0.00000038,0.00000031,0.00000032,21341443.00000000,1608595199999,7.20453988,738,8647922.00000000,2.95723020,0
2020-12-22,1608595200000,MTHBTC,0.00000031,0.00000035,0.00000030,0.00000033,17846520.00000000,1608681599999,5.72038661,551,8112706.00000000,2.62088415,0
2020-12-23,1608681600000,MTHBTC,0.00000032,0.00000033,0.00000027,0.00000028,23337833.00000000,1608767999999,6.75656539,632,10227181.00000000,2.96964608,0
2020-12-24,1608768000000,MTHBTC,0.00000028,0.00000029,0.00000025,0.00000028,13968833.00000000,1608854399999,3.77755939,435,8879424.00000000,2.40892066,0
2020-12-25,1608854400000,MTHBTC,0.00000029,0.00000030,0.00000026,0.00000026,14480584.00000000,1608940799999,3.97607428,366,6707573.00000000,1.85520645,0
2020-12-26,1608940800000,MTHBTC,0.00000027,0.00000031,0.00000026,0.00000028,15240335.00000000,1609027199999,4.33886101,612,8715882.00000000,2.49623307,0
2020-12-27,1609027200000,MTHBTC,0.00000029,0.00000034,0.00000027,0.00000029,28622974.00000000,1609113599999,8.43574694,1010,12710427.00000000,3.77149211,0
